experiment_id,timestamp,hostname,os,wsl_status,experiment_name,git_commit,gpu,gpu_uuid,compute_capability,driver,cuda_runtime,cuda_toolkit,compiler,cmake_version,kernel,kernel_variant,dtype,M,N,K,warmup,iterations,seed,median_ms,p95_ms,min_ms,gflops,h2d_ms,d2h_ms,end_to_end_ms,end_to_end_gflops,latency_delta_ms,latency_delta_pct,throughput_delta_gflops,throughput_delta_pct,verification_status,max_abs_error,max_rel_error,status,cuda_errors,runtime_errors,environment_warnings,parent_experiment_id,baseline_experiment_id,optimization_description,notes
"EXP-000001","2026-08-30T19:37:05Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","baseline-naive-128","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","12.4.0","cmake version 3.28.3","naive","naive","fp32",128,128,128,10,50,42,0.018432000652,0.0760831993073,0.011264000088,227.555547507,0.11400000006,0.0995999984443,0.229968003929,18.2386415864,null,null,null,null,"PASS",2.86102294922e-06,0.000647974349671,"PASS","","","host compiler differs from target GCC 13.x","","","",""
"EXP-000002","2026-08-30T19:37:32Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","baseline-naive-1024","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","12.4.0","cmake version 3.28.3","naive","naive","fp32",1024,1024,1024,10,100,42,2.2497279644,3.10688970089,2.17065596581,954.552586793,1.04003196955,0.63257598877,4.00873613358,535.700923294,null,null,null,null,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","host compiler differs from target GCC 13.x","","","",""
"EXP-000003","2026-08-30T19:39:02Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","coalesced-1024","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","12.4.0","cmake version 3.28.3","coalesced","coalesced","fp32",1024,1024,1024,10,100,42,2.99820792675,3.43064968586,2.16985607147,716.255743586,1.11039996147,0.606575995684,3.98036801815,539.518868157,0.74847996235,33.2697985798,-238.296843207,-24.9642446633,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","host compiler differs from target GCC 13.x","EXP-000002","EXP-000002","Change global-memory access pattern from naive indexing to coalesced loads/stores",""
"EXP-000004","2026-08-30T19:39:50Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","shared16-1024","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","12.4.0","cmake version 3.28.3","shared16","shared_tile_16x16","fp32",1024,1024,1024,10,100,42,2.57280004025,3.6791809082,2.46374392509,834.687350127,1.10758399963,0.580144017935,4.32366394997,496.681442603,0.323072075845,14.360495178,-119.865236666,-12.5572166818,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","host compiler differs from target GCC 13.x","EXP-000002","EXP-000002","Introduce shared-memory tiling with 16x16 tiles to reuse A and B data across threads",""
"EXP-000005","2026-08-30T19:44:00Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","baseline-naive-1024-corrected","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","naive","naive","fp32",1024,1024,1024,10,100,42,2.99097597599,3.4610689044,2.16985607147,717.987595099,1.10931199789,0.64505597949,4.22513604164,508.263787683,null,null,null,null,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","","","",""
"EXP-000006","2026-08-30T19:45:53Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","baseline-naive-1024-repeat-2","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","naive","naive","fp32",1024,1024,1024,20,200,42,2.18969607353,3.02146570683,2.16780805588,980.722244497,1.00281602144,0.580863982439,4.06443190575,528.36009996,-0.801279902458,-26.7899143587,262.734649398,36.5932017755,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","EXP-000005","EXP-000005","Repeatability measurement of the corrected naive 1024^3 FP32 baseline",""
"EXP-000007","2026-08-30T19:46:07Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","baseline-naive-1024-repeat-3","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","naive","naive","fp32",1024,1024,1024,20,200,42,2.1890399456,2.99842554331,2.1716799736,981.016199505,1.05153602362,0.578976005316,4.06937599182,527.718169153,-0.801936030388,-26.8118512761,263.028604406,36.6341432918,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","EXP-000005","EXP-000005","Repeatability measurement of the corrected naive 1024^3 FP32 baseline",""
"EXP-000008","2026-08-30T19:46:44Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","shared16-1024-controlled","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","shared16","shared_tile_16x16","fp32",1024,1024,1024,20,200,42,2.47545599937,3.46956795454,2.4606719017,867.510328821,1.22974401712,0.635520011187,4.72004795074,454.970727079,0.286416053774,13.0840944383,-113.505870684,-11.5702340839,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","EXP-000007","EXP-000007","Introduce 16x16 shared-memory tiling while keeping workload and benchmark conditions controlled",""
"EXP-000009","2026-08-30T19:47:10Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","shared32-1024-controlled","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","shared32","shared_tile_32x32","fp32",1024,1024,1024,20,200,42,2.55779194832,3.56787517071,2.54054403305,839.584958977,1.26667201519,0.637776017189,4.86996793747,440.964637873,0.368752002718,16.8453756844,-141.431240528,-14.4168098957,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","EXP-000007","EXP-000007","Increase shared-memory tile from 16x16 to 32x32 while keeping the benchmark conditions controlled",""
"EXP-000010","2026-08-30T19:47:54Z","LAPTOP-20FJA14N","Ubuntu 24.04.4 LTS","WSL2_GPU_DEVICE_PRESENT","register-1024-controlled","ee26e3c309d59e863c857f663aa0f3cc3a45077a","NVIDIA GeForce RTX 4060 Laptop GPU","GPU-0902d391eeed82e813313d29c15d036c","8.9","595.97","12.0","12.0","13.3.0","cmake version 3.28.3","register","register_tile_32x32_bk8_tm2tn2","fp32",1024,1024,1024,20,200,42,1.35065603256,1.84140795469,1.30150401592,1589.95598896,1.12735998631,0.661903977394,3.3144800663,647.909658542,-0.838383913038,-38.2991600826,608.939789457,62.0723480167,"PASS",1.90734863281e-05,0.00544709955559,"PASS","","","NONE","EXP-000007","EXP-000007","Introduce register tiling to increase output reuse per thread while keeping benchmark conditions controlled",""
